player_id,season,games,total_snaps,offense_snaps,special_teams_snaps,started,start_rate,active_rate,healthy_rate,qual_snap_rate,total_snaps_per_game,offense_snaps_per_game,offense_snap_rate,special_teams_snaps_per_game
00-0023016,2015,16,1063,1015,48,16,1,1,0.5,1,66.44,63.44,1,3
00-0023060,2012,16,146,0,146,0,0,1,0.5,0,9.12,0,0,9.12
00-0023096,2012,13,115,0,115,0,0,1,1,0,8.85,0,0,8.85
00-0023096,2013,16,172,0,172,0,0,1,1,0,10.75,0,0,10.75
00-0023096,2014,16,153,0,153,0,0,1,1,0,9.56,0,0,9.56
00-0023096,2015,16,115,0,115,NA,NA,1,0.94,0,7.19,0,0,7.19
00-0023096,2016,16,141,0,141,0,0,1,1,0,8.81,0,0,8.81
00-0023096,2017,16,65,0,65,NA,NA,0.69,0.69,0,4.06,0,0,4.06
00-0023173,2012,16,141,0,141,0,0,1,1,0,8.81,0,0,8.81
00-0023173,2013,16,157,0,157,0,0,1,0.94,0,9.81,0,0,9.81
00-0023173,2014,16,139,0,139,0,0,1,0.75,0,8.69,0,0,8.69
00-0023173,2015,16,151,0,151,0,0,1,0.94,0,9.44,0,0,9.44
00-0023173,2016,16,156,0,156,0,0,1,1,0,9.75,0,0,9.75
00-0023173,2017,16,136,0,136,0,0,1,0.94,0,8.5,0,0,8.5
00-0023173,2018,16,145,0,145,0,0,1,0.94,0,9.06,0,0,9.06
00-0023176,2012,16,398,62,336,2,0.12,1,0.31,0,24.88,3.88,0.06,21
00-0023176,2013,16,146,30,116,NA,NA,0.75,0.56,0,9.12,1.88,0.03,7.25
00-0023176,2014,16,101,4,97,NA,NA,1,0.94,0,6.31,0.25,0,6.06
00-0023177,2012,16,144,1,143,0,0,1,0.94,0,9,0.06,0,8.94
00-0023177,2013,16,158,0,158,0,0,1,1,0,9.88,0,0,9.88
00-0023177,2014,16,161,0,161,0,0,1,1,0,10.06,0,0,10.06
00-0023177,2015,16,122,0,122,NA,NA,0.81,0.81,0,7.62,0,0,7.62
00-0023177,2016,16,160,0,160,0,0,1,1,0,10,0,0,10
00-0023177,2017,16,129,0,129,0,0,1,1,0,8.06,0,0,8.06
00-0023177,2018,4,41,0,41,0,0,1,1,0,10.25,0,0,10.25
00-0023180,2012,16,964,913,51,NA,NA,0.88,0.88,0.88,60.25,57.06,0.87,3.19
00-0023180,2013,16,557,528,29,9,0.56,0.69,0.62,0.56,34.81,33,0.5,1.81
00-0023215,2012,16,380,1,350,0,0,1,1,0,23.75,0.06,0,21.88
00-0023215,2013,16,402,0,360,0,0,1,0.94,0,25.12,0,0,22.5
00-0023215,2014,16,0,0,0,NA,NA,0,0,0,0,0,0,0
00-0023234,2012,16,237,0,237,0,0,1,1,0,14.81,0,0,14.81
00-0023234,2013,16,221,0,221,0,0,1,1,0,13.81,0,0,13.81
00-0023234,2014,16,204,0,204,0,0,1,1,0,12.75,0,0,12.75
00-0023252,2012,16,125,0,125,NA,NA,0.81,0.81,0,7.81,0,0,7.81
00-0023252,2013,16,168,0,168,0,0,1,0.94,0,10.5,0,0,10.5
