season,adp_rk,pick,name,pos,team,bye,overall,std,high,low,n,player_id,sleeper_id
2021,131,11.01,Zach Ertz,TE,PHI,14,121.2,18.1,7.01,15.01,107,00-0030061,1339
2021,132,11.03,Trevor Lawrence,QB,JAX,7,123.3,26.3,8.02,15.12,152,,7523
2021,133,11.05,Jerry Jeudy,WR,DEN,11,125.1,10.1,7.05,12.12,373,00-0036407,6783
2021,134,11.06,Carson Wentz,QB,IND,14,125.9,11,8.01,13.02,309,00-0032950,3161
2021,136,11.07,Laviska Shenault Jr.,WR,JAX,7,127.4,11,8.09,13.05,214,00-0036268,6814
2021,137,11.08,Damien Williams,RB,CHI,10,127.8,9.7,9.04,13.02,72,00-0030874,1833
2021,139,11.08,Rashaad Penny,RB,SEA,9,128.2,10.9,9.01,13.06,56,00-0034750,4985
2021,140,11.08,Marvin Jones,WR,JAX,7,128.5,10.2,7.03,14.12,130,00-0029293,1067
2021,141,12.01,Michael Gallup,WR,DAL,7,132.5,7.3,9.01,13.01,181,00-0034764,5038
2021,142,12.01,Ben Roethlisberger,QB,PIT,7,132.7,12,6.12,14.04,120,00-0022924,138
2021,143,12.01,Michael Carter,RB,NYJ,6,133,29.4,3.12,15.12,135,,7607
2021,144,12.01,Devontae Booker,RB,NYG,10,133,35.7,4.08,15.09,23,00-0032972,3209
2021,145,12.02,John Brown,WR,LV,8,134.1,12.3,9.09,14.12,74,00-0031051,2238
2021,146,12.03,Cam Newton,QB,NE,14,135.1,10.1,8.12,14.11,122,00-0027939,954
2021,147,12.04,Rashod Bateman,WR,BAL,8,135.6,22.9,9.03,15.03,10,,7571
2021,150,12.06,Henry Ruggs III,WR,LV,8,138,12.5,7.06,15.01,174,00-0036357,6789
2021,151,12.07,Sony Michel,RB,NE,14,138.8,11.8,9.01,15.02,77,00-0034845,4962
2021,153,12.09,Nelson Agholor,WR,NE,14,141,16.6,4.04,15.02,110,00-0031549,2325
2021,155,12.1,Jameis Winston,QB,NO,6,142.2,14.8,8.03,15.11,197,00-0031503,2306
2021,156,12.11,James White,RB,NE,14,142.7,16.2,9.09,15.09,133,00-0031062,1848
2021,157,13.01,Gerald Everett,TE,SEA,9,144.8,17.6,11.01,15.12,27,00-0033895,4089
2021,158,13.01,Robert Tonyan Jr.,TE,GB,13,145.1,19.3,6.05,15.12,552,00-0033757,4602
2021,159,13.02,Kirk Cousins,QB,MIN,7,146.3,15.2,9.1,15.12,128,00-0029604,1166
2021,160,13.03,Mecole Hardman,WR,KC,12,146.6,13.6,7.01,15.08,182,00-0035140,5917
2021,161,13.03,Tyler Higbee,TE,LAR,11,146.8,19.3,7.02,15.12,679,00-0033110,3271
2021,162,13.04,Anthony McFarland Jr.,RB,PIT,7,148.2,15.2,9.07,15.11,88,00-0036336,6878
2021,163,13.06,Trey Sermon,RB,SF,6,149.9,29.8,4.04,15.12,112,,7593
2021,164,13.06,Noah Fant,TE,DEN,11,149.9,20.1,6.07,15.12,368,00-0035644,5857
2021,166,13.07,Irv Smith Jr.,TE,MIN,7,150.9,23,8.12,15.12,124,00-0034970,6126
2021,168,13.07,Trey Lance,QB,SF,6,151.3,23.3,10.09,15.11,22,,7610
2021,169,13.07,Tevin Coleman,RB,NYJ,6,151.5,18.4,9.02,15.12,230,00-0032058,2378
2021,170,13.08,Tim Tebow,QB,JAX,7,151.6,40.2,5.04,15.12,10,00-0027876,
2021,171,13.08,Baker Mayfield,QB,CLE,13,151.7,15.5,8.11,15.12,295,00-0034855,4892
