season,week,location,team,opponent,final_score,spread_line,team_coach,opponent_coach,game_id
2003,3,Home,WAS,NYG,21-24,1.5,Steve Spurrier,Jim Fassel,2003_03_NYG_WAS
2003,3,Away,GB,ARI,13-20,7.5,Mike Sherman,Dave McGinnis,2003_03_GB_ARI
2003,3,Home,ARI,GB,20-13,-7.5,Dave McGinnis,Mike Sherman,2003_03_GB_ARI
2003,3,Away,LA,SEA,23-24,-3,Mike Martz,Mike Holmgren,2003_03_STL_SEA
2003,3,Home,SEA,LA,24-23,3,Mike Holmgren,Mike Martz,2003_03_STL_SEA
2003,3,Away,BAL,LAC,24-10,-1.5,Brian Billick,Marty Schottenheimer,2003_03_BAL_SD
2003,3,Home,LAC,BAL,10-24,1.5,Marty Schottenheimer,Brian Billick,2003_03_BAL_SD
2003,3,Away,CLE,SF,13-12,-7,Butch Davis,Dennis Erickson,2003_03_CLE_SF
2003,3,Home,SF,CLE,12-13,7,Dennis Erickson,Butch Davis,2003_03_CLE_SF
2003,3,Away,BUF,MIA,7-17,-3,Gregg Williams,Dave Wannstedt,2003_03_BUF_MIA
2003,3,Home,MIA,BUF,17-7,3,Dave Wannstedt,Gregg Williams,2003_03_BUF_MIA
2003,3,Away,LV,DEN,10-31,-5.5,Bill Callahan,Mike Shanahan,2003_03_OAK_DEN
2003,3,Home,DEN,LV,31-10,5.5,Mike Shanahan,Bill Callahan,2003_03_OAK_DEN
2003,4,Away,ARI,LA,13-37,-11.5,Dave McGinnis,Mike Martz,2003_04_ARI_STL
2003,4,Home,LA,ARI,37-13,11.5,Mike Martz,Dave McGinnis,2003_04_ARI_STL
2003,4,Away,CIN,CLE,21-14,-4.5,Marvin Lewis,Butch Davis,2003_04_CIN_CLE
2003,4,Home,CLE,CIN,14-21,4.5,Butch Davis,Marvin Lewis,2003_04_CIN_CLE
2003,4,Away,PHI,BUF,23-13,-3,Andy Reid,Gregg Williams,2003_04_PHI_BUF
2003,4,Home,BUF,PHI,13-23,3,Gregg Williams,Andy Reid,2003_04_PHI_BUF
2003,4,Away,TEN,PIT,30-13,-3.5,Jeff Fisher,Bill Cowher,2003_04_TEN_PIT
2003,4,Home,PIT,TEN,13-30,3.5,Bill Cowher,Jeff Fisher,2003_04_TEN_PIT
2003,4,Away,JAX,HOU,20-24,2.5,Jack Del Rio,Dom Capers,2003_04_JAX_HOU
2003,4,Home,HOU,JAX,24-20,-2.5,Dom Capers,Jack Del Rio,2003_04_JAX_HOU
2003,4,Away,NE,WAS,17-20,-3.5,Bill Belichick,Steve Spurrier,2003_04_NE_WAS
2003,4,Home,WAS,NE,20-17,3.5,Steve Spurrier,Bill Belichick,2003_04_NE_WAS
2003,4,Away,SF,MIN,7-35,-0,Dennis Erickson,Mike Tice,2003_04_SF_MIN
2003,4,Home,MIN,SF,35-7,0,Mike Tice,Dennis Erickson,2003_04_SF_MIN
2003,4,Away,KC,BAL,17-10,3,Dick Vermeil,Brian Billick,2003_04_KC_BAL
2003,4,Home,BAL,KC,10-17,-3,Brian Billick,Dick Vermeil,2003_04_KC_BAL
2003,4,Away,LAC,LV,31-34,-7,Marty Schottenheimer,Bill Callahan,2003_04_SD_OAK
2003,4,Home,LV,LAC,34-31,7,Bill Callahan,Marty Schottenheimer,2003_04_SD_OAK
2003,4,Away,DAL,NYJ,17-6,-3,Bill Parcells,Herm Edwards,2003_04_DAL_NYJ
2003,4,Home,NYJ,DAL,6-17,3,Herm Edwards,Bill Parcells,2003_04_DAL_NYJ
2003,4,Away,ATL,CAR,3-23,-6,Dan Reeves,John Fox,2003_04_ATL_CAR
2003,4,Home,CAR,ATL,23-3,6,John Fox,Dan Reeves,2003_04_ATL_CAR
2003,4,Away,DET,DEN,16-20,-12,Steve Mariucci,Mike Shanahan,2003_04_DET_DEN
2003,4,Home,DEN,DET,20-16,12,Mike Shanahan,Steve Mariucci,2003_04_DET_DEN
2003,4,Away,IND,NO,55-21,1.5,Tony Dungy,Jim Haslett,2003_04_IND_NO
2003,4,Home,NO,IND,21-55,-1.5,Jim Haslett,Tony Dungy,2003_04_IND_NO
2003,4,Away,GB,CHI,38-23,4,Mike Sherman,Dick Jauron,2003_04_GB_CHI
2003,4,Home,CHI,GB,23-38,-4,Dick Jauron,Mike Sherman,2003_04_GB_CHI
2003,5,Away,ARI,DAL,7-24,-7.5,Dave McGinnis,Bill Parcells,2003_05_ARI_DAL
2003,5,Home,DAL,ARI,24-7,7.5,Bill Parcells,Dave McGinnis,2003_05_ARI_DAL
2003,5,Away,DEN,KC,23-24,-3.5,Mike Shanahan,Dick Vermeil,2003_05_DEN_KC
2003,5,Home,KC,DEN,24-23,3.5,Dick Vermeil,Mike Shanahan,2003_05_DEN_KC
2003,5,Away,MIN,ATL,39-26,4.5,Mike Tice,Dan Reeves,2003_05_MIN_ATL
2003,5,Home,ATL,MIN,26-39,-4.5,Dan Reeves,Mike Tice,2003_05_MIN_ATL
2003,5,Away,LV,CHI,21-24,3.5,Bill Callahan,Dick Jauron,2003_05_OAK_CHI
2003,5,Home,CHI,LV,24-21,-3.5,Dick Jauron,Bill Callahan,2003_05_OAK_CHI
2003,5,Away,TEN,NE,30-38,-1,Jeff Fisher,Bill Belichick,2003_05_TEN_NE
2003,5,Home,NE,TEN,38-30,1,Bill Belichick,Jeff Fisher,2003_05_TEN_NE
2003,5,Away,CIN,BUF,16-22,-7,Marvin Lewis,Gregg Williams,2003_05_CIN_BUF
2003,5,Home,BUF,CIN,22-16,7,Gregg Williams,Marvin Lewis,2003_05_CIN_BUF
2003,5,Away,MIA,NYG,23-10,-1.5,Dave Wannstedt,Jim Fassel,2003_05_MIA_NYG
2003,5,Home,NYG,MIA,10-23,1.5,Jim Fassel,Dave Wannstedt,2003_05_MIA_NYG
2003,5,Away,NO,CAR,13-19,-7,Jim Haslett,John Fox,2003_05_NO_CAR
2003,5,Home,CAR,NO,19-13,7,John Fox,Jim Haslett,2003_05_NO_CAR
2003,5,Away,SEA,GB,13-35,-1,Mike Holmgren,Mike Sherman,2003_05_SEA_GB
2003,5,Home,GB,SEA,35-13,1,Mike Sherman,Mike Holmgren,2003_05_SEA_GB
2003,5,Away,LAC,JAX,21-27,-3,Marty Schottenheimer,Jack Del Rio,2003_05_SD_JAX
2003,5,Home,JAX,LAC,27-21,3,Jack Del Rio,Marty Schottenheimer,2003_05_SD_JAX
2003,5,Away,DET,SF,17-24,-7.5,Steve Mariucci,Dennis Erickson,2003_05_DET_SF
2003,5,Home,SF,DET,24-17,7.5,Dennis Erickson,Steve Mariucci,2003_05_DET_SF
2003,5,Away,WAS,PHI,25-27,-4.5,Steve Spurrier,Andy Reid,2003_05_WAS_PHI
2003,5,Home,PHI,WAS,27-25,4.5,Andy Reid,Steve Spurrier,2003_05_WAS_PHI
2003,5,Away,CLE,PIT,33-13,-7,Butch Davis,Bill Cowher,2003_05_CLE_PIT
2003,5,Home,PIT,CLE,13-33,7,Bill Cowher,Butch Davis,2003_05_CLE_PIT
2003,5,Away,IND,TB,38-35,-4.5,Tony Dungy,Jon Gruden,2003_05_IND_TB
2003,5,Home,TB,IND,35-38,4.5,Jon Gruden,Tony Dungy,2003_05_IND_TB
2003,6,Away,CAR,IND,23-20,-4,John Fox,Tony Dungy,2003_06_CAR_IND
2003,6,Home,IND,CAR,20-23,4,Tony Dungy,John Fox,2003_06_CAR_IND
2003,6,Away,HOU,TEN,17-38,-8.5,Dom Capers,Jeff Fisher,2003_06_HOU_TEN
2003,6,Home,TEN,HOU,38-17,8.5,Jeff Fisher,Dom Capers,2003_06_HOU_TEN
2003,6,Away,MIA,JAX,24-10,3.5,Dave Wannstedt,Jack Del Rio,2003_06_MIA_JAX
2003,6,Home,JAX,MIA,10-24,-3.5,Jack Del Rio,Dave Wannstedt,2003_06_MIA_JAX
2003,6,Away,LV,CLE,7-13,-3.5,Bill Callahan,Butch Davis,2003_06_OAK_CLE
2003,6,Home,CLE,LV,13-7,3.5,Butch Davis,Bill Callahan,2003_06_OAK_CLE
2003,6,Away,TB,WAS,35-13,3.5,Jon Gruden,Steve Spurrier,2003_06_TB_WAS
2003,6,Home,WAS,TB,13-35,-3.5,Steve Spurrier,Jon Gruden,2003_06_TB_WAS
2003,6,Away,CHI,NO,13-20,-6.5,Dick Jauron,Jim Haslett,2003_06_CHI_NO
2003,6,Home,NO,CHI,20-13,6.5,Jim Haslett,Dick Jauron,2003_06_CHI_NO
2003,6,Away,KC,GB,40-34,-2.5,Dick Vermeil,Mike Sherman,2003_06_KC_GB
2003,6,Home,GB,KC,34-40,2.5,Mike Sherman,Dick Vermeil,2003_06_KC_GB
2003,6,Away,NYG,NE,6-17,-2.5,Jim Fassel,Bill Belichick,2003_06_NYG_NE
2003,6,Home,NE,NYG,17-6,2.5,Bill Belichick,Jim Fassel,2003_06_NYG_NE
2003,6,Away,PHI,DAL,21-23,-1,Andy Reid,Bill Parcells,2003_06_PHI_DAL
2003,6,Home,DAL,PHI,23-21,1,Bill Parcells,Andy Reid,2003_06_PHI_DAL
2003,6,Away,BUF,NYJ,3-30,1,Gregg Williams,Herm Edwards,2003_06_BUF_NYJ
2003,6,Home,NYJ,BUF,30-3,-1,Herm Edwards,Gregg Williams,2003_06_BUF_NYJ
2003,6,Away,BAL,ARI,26-18,6.5,Brian Billick,Dave McGinnis,2003_06_BAL_ARI
2003,6,Home,ARI,BAL,18-26,-6.5,Dave McGinnis,Brian Billick,2003_06_BAL_ARI
2003,6,Away,PIT,DEN,14-17,-6.5,Bill Cowher,Mike Shanahan,2003_06_PIT_DEN
2003,6,Home,DEN,PIT,17-14,6.5,Mike Shanahan,Bill Cowher,2003_06_PIT_DEN
2003,6,Away,SF,SEA,19-20,-3.5,Dennis Erickson,Mike Holmgren,2003_06_SF_SEA
2003,6,Home,SEA,SF,20-19,3.5,Mike Holmgren,Dennis Erickson,2003_06_SF_SEA
2003,6,Away,ATL,LA,0-36,-10,Dan Reeves,Mike Martz,2003_06_ATL_STL
2003,6,Home,LA,ATL,36-0,10,Mike Martz,Dan Reeves,2003_06_ATL_STL
2003,7,Away,BAL,CIN,26-34,1,Brian Billick,Marvin Lewis,2003_07_BAL_CIN
2003,7,Home,CIN,BAL,34-26,-1,Marvin Lewis,Brian Billick,2003_07_BAL_CIN
2003,7,Away,DEN,MIN,20-28,-4,Mike Shanahan,Mike Tice,2003_07_DEN_MIN
2003,7,Home,MIN,DEN,28-20,4,Mike Tice,Mike Shanahan,2003_07_DEN_MIN
2003,7,Away,NE,MIA,19-13,-6.5,Bill Belichick,Dave Wannstedt,2003_07_NE_MIA
2003,7,Home,MIA,NE,13-19,6.5,Dave Wannstedt,Bill Belichick,2003_07_NE_MIA
2003,7,Away,PHI,NYG,14-10,-3,Andy Reid,Jim Fassel,2003_07_PHI_NYG
2003,7,Home,NYG,PHI,10-14,3,Jim Fassel,Andy Reid,2003_07_PHI_NYG
2003,7,Away,TEN,CAR,37-17,-0,Jeff Fisher,John Fox,2003_07_TEN_CAR
2003,7,Home,CAR,TEN,17-37,0,John Fox,Jeff Fisher,2003_07_TEN_CAR
2003,7,Away,DAL,DET,38-7,3,Bill Parcells,Steve Mariucci,2003_07_DAL_DET
2003,7,Home,DET,DAL,7-38,-3,Steve Mariucci,Bill Parcells,2003_07_DAL_DET
2003,7,Away,GB,LA,24-34,-4,Mike Sherman,Mike Martz,2003_07_GB_STL
2003,7,Home,LA,GB,34-24,4,Mike Martz,Mike Sherman,2003_07_GB_STL
2003,7,Away,NO,ATL,45-17,3,Jim Haslett,Dan Reeves,2003_07_NO_ATL
2003,7,Home,ATL,NO,17-45,-3,Dan Reeves,Jim Haslett,2003_07_NO_ATL
2003,7,Away,LAC,CLE,26-20,-3.5,Marty Schottenheimer,Butch Davis,2003_07_SD_CLE
2003,7,Home,CLE,LAC,20-26,3.5,Butch Davis,Marty Schottenheimer,2003_07_SD_CLE
2003,7,Away,NYJ,HOU,19-14,3.5,Herm Edwards,Dom Capers,2003_07_NYJ_HOU
2003,7,Home,HOU,NYJ,14-19,-3.5,Dom Capers,Herm Edwards,2003_07_NYJ_HOU
2003,7,Away,TB,SF,7-24,5,Jon Gruden,Dennis Erickson,2003_07_TB_SF
2003,7,Home,SF,TB,24-7,-5,Dennis Erickson,Jon Gruden,2003_07_TB_SF
2003,7,Away,WAS,BUF,7-24,-3,Steve Spurrier,Gregg Williams,2003_07_WAS_BUF
2003,7,Home,BUF,WAS,24-7,3,Gregg Williams,Steve Spurrier,2003_07_WAS_BUF
2003,7,Away,CHI,SEA,17-24,-11,Dick Jauron,Mike Holmgren,2003_07_CHI_SEA
2003,7,Home,SEA,CHI,24-17,11,Mike Holmgren,Dick Jauron,2003_07_CHI_SEA
2003,7,Away,KC,LV,17-10,4.5,Dick Vermeil,Bill Callahan,2003_07_KC_OAK
2003,7,Home,LV,KC,10-17,-4.5,Bill Callahan,Dick Vermeil,2003_07_KC_OAK
2003,8,Away,CAR,NO,23-20,-3,John Fox,Jim Haslett,2003_08_CAR_NO
2003,8,Home,NO,CAR,20-23,3,Jim Haslett,John Fox,2003_08_CAR_NO
2003,8,Away,DAL,TB,0-16,-6,Bill Parcells,Jon Gruden,2003_08_DAL_TB
2003,8,Home,TB,DAL,16-0,6,Jon Gruden,Bill Parcells,2003_08_DAL_TB
2003,8,Away,DET,CHI,16-24,-3,Steve Mariucci,Dick Jauron,2003_08_DET_CHI
2003,8,Home,CHI,DET,24-16,3,Dick Jauron,Steve Mariucci,2003_08_DET_CHI
2003,8,Away,SEA,CIN,24-27,3,Mike Holmgren,Marvin Lewis,2003_08_SEA_CIN
2003,8,Home,CIN,SEA,27-24,-3,Marvin Lewis,Mike Holmgren,2003_08_SEA_CIN
2003,8,Away,TEN,JAX,30-17,4.5,Jeff Fisher,Jack Del Rio,2003_08_TEN_JAX
2003,8,Home,JAX,TEN,17-30,-4.5,Jack Del Rio,Jeff Fisher,2003_08_TEN_JAX
2003,8,Away,CLE,NE,3-9,-4.5,Butch Davis,Bill Belichick,2003_08_CLE_NE
2003,8,Home,NE,CLE,9-3,4.5,Bill Belichick,Butch Davis,2003_08_CLE_NE
2003,8,Away,DEN,BAL,6-26,-2.5,Mike Shanahan,Brian Billick,2003_08_DEN_BAL
2003,8,Home,BAL,DEN,26-6,2.5,Brian Billick,Mike Shanahan,2003_08_DEN_BAL
2003,8,Away,NYG,MIN,29-17,-5.5,Jim Fassel,Mike Tice,2003_08_NYG_MIN
2003,8,Home,MIN,NYG,17-29,5.5,Mike Tice,Jim Fassel,2003_08_NYG_MIN
2003,8,Away,LA,PIT,33-21,-1,Mike Martz,Bill Cowher,2003_08_STL_PIT
2003,8,Home,PIT,LA,21-33,1,Bill Cowher,Mike Martz,2003_08_STL_PIT
2003,8,Away,SF,ARI,13-16,7,Dennis Erickson,Dave McGinnis,2003_08_SF_ARI
2003,8,Home,ARI,SF,16-13,-7,Dave McGinnis,Dennis Erickson,2003_08_SF_ARI
2003,8,Away,HOU,IND,21-30,-13,Dom Capers,Tony Dungy,2003_08_HOU_IND
2003,8,Home,IND,HOU,30-21,13,Tony Dungy,Dom Capers,2003_08_HOU_IND
2003,8,Away,NYJ,PHI,17-24,-3,Herm Edwards,Andy Reid,2003_08_NYJ_PHI
2003,8,Home,PHI,NYJ,24-17,3,Andy Reid,Herm Edwards,2003_08_NYJ_PHI
2003,8,Away,BUF,KC,5-38,-5.5,Gregg Williams,Dick Vermeil,2003_08_BUF_KC
2003,8,Home,KC,BUF,38-5,5.5,Dick Vermeil,Gregg Williams,2003_08_BUF_KC
2003,8,Neutral,MIA,LAC,26-10,6.5,Dave Wannstedt,Marty Schottenheimer,2003_08_MIA_SD
2003,8,Neutral,LAC,MIA,10-26,-6.5,Marty Schottenheimer,Dave Wannstedt,2003_08_MIA_SD
2003,9,Away,CAR,HOU,10-14,6,John Fox,Dom Capers,2003_09_CAR_HOU
2003,9,Home,HOU,CAR,14-10,-6,Dom Capers,John Fox,2003_09_CAR_HOU
2003,9,Away,JAX,BAL,17-24,-7,Jack Del Rio,Brian Billick,2003_09_JAX_BAL
2003,9,Home,BAL,JAX,24-17,7,Brian Billick,Jack Del Rio,2003_09_JAX_BAL
2003,9,Away,NYG,NYJ,31-28,3.5,Jim Fassel,Herm Edwards,2003_09_NYG_NYJ
2003,9,Home,NYJ,NYG,28-31,-3.5,Herm Edwards,Jim Fassel,2003_09_NYG_NYJ
2003,9,Away,LAC,CHI,7-20,-1,Marty Schottenheimer,Dick Jauron,2003_09_SD_CHI
2003,9,Home,CHI,LAC,20-7,1,Dick Jauron,Marty Schottenheimer,2003_09_SD_CHI
2003,9,Away,IND,MIA,23-17,-3,Tony Dungy,Dave Wannstedt,2003_09_IND_MIA
2003,9,Home,MIA,IND,17-23,3,Dave Wannstedt,Tony Dungy,2003_09_IND_MIA
2003,9,Away,NO,TB,17-14,-8,Jim Haslett,Jon Gruden,2003_09_NO_TB
2003,9,Home,TB,NO,14-17,8,Jon Gruden,Jim Haslett,2003_09_NO_TB
2003,9,Away,LV,DET,13-23,3.5,Bill Callahan,Steve Mariucci,2003_09_OAK_DET
2003,9,Home,DET,LV,23-13,-3.5,Steve Mariucci,Bill Callahan,2003_09_OAK_DET
2003,9,Away,CIN,ARI,14-17,3,Marvin Lewis,Dave McGinnis,2003_09_CIN_ARI
2003,9,Home,ARI,CIN,17-14,-3,Dave McGinnis,Marvin Lewis,2003_09_CIN_ARI
2003,9,Away,PIT,SEA,16-23,-5,Bill Cowher,Mike Holmgren,2003_09_PIT_SEA
2003,9,Home,SEA,PIT,23-16,5,Mike Holmgren,Bill Cowher,2003_09_PIT_SEA
2003,9,Away,PHI,ATL,23-16,6,Andy Reid,Dan Reeves,2003_09_PHI_ATL
2003,9,Home,ATL,PHI,16-23,-6,Dan Reeves,Andy Reid,2003_09_PHI_ATL
2003,9,Away,WAS,DAL,14-21,-6,Steve Spurrier,Bill Parcells,2003_09_WAS_DAL
2003,9,Home,DAL,WAS,21-14,6,Bill Parcells,Steve Spurrier,2003_09_WAS_DAL
2003,9,Away,LA,SF,10-30,5,Mike Martz,Dennis Erickson,2003_09_STL_SF
2003,9,Home,SF,LA,30-10,-5,Dennis Erickson,Mike Martz,2003_09_STL_SF
2003,9,Away,GB,MIN,30-27,-5.5,Mike Sherman,Mike Tice,2003_09_GB_MIN
2003,9,Home,MIN,GB,27-30,5.5,Mike Tice,Mike Sherman,2003_09_GB_MIN
2003,9,Away,NE,DEN,30-26,-2,Bill Belichick,Mike Shanahan,2003_09_NE_DEN
2003,9,Home,DEN,NE,26-30,2,Mike Shanahan,Bill Belichick,2003_09_NE_DEN
2003,10,Away,ARI,PIT,15-28,-7,Dave McGinnis,Bill Cowher,2003_10_ARI_PIT
2003,10,Home,PIT,ARI,28-15,7,Bill Cowher,Dave McGinnis,2003_10_ARI_PIT
2003,10,Away,CHI,DET,10-12,-0,Dick Jauron,Steve Mariucci,2003_10_CHI_DET
2003,10,Home,DET,CHI,12-10,0,Steve Mariucci,Dick Jauron,2003_10_CHI_DET
2003,10,Away,HOU,CIN,27-34,-4,Dom Capers,Marvin Lewis,2003_10_HOU_CIN
2003,10,Home,CIN,HOU,34-27,4,Marvin Lewis,Dom Capers,2003_10_HOU_CIN
2003,10,Away,MIA,TEN,7-31,-5.5,Dave Wannstedt,Jeff Fisher,2003_10_MIA_TEN
2003,10,Home,TEN,MIA,31-7,5.5,Jeff Fisher,Dave Wannstedt,2003_10_MIA_TEN
2003,10,Away,TB,CAR,24-27,3.5,Jon Gruden,John Fox,2003_10_TB_CAR
2003,10,Home,CAR,TB,27-24,-3.5,John Fox,Jon Gruden,2003_10_TB_CAR
2003,10,Away,ATL,NYG,27-7,-11.5,Dan Reeves,Jim Fassel,2003_10_ATL_NYG
2003,10,Home,NYG,ATL,7-27,11.5,Jim Fassel,Dan Reeves,2003_10_ATL_NYG
2003,10,Away,CLE,KC,20-41,-9,Butch Davis,Dick Vermeil,2003_10_CLE_KC
2003,10,Home,KC,CLE,41-20,9,Dick Vermeil,Butch Davis,2003_10_CLE_KC
2003,10,Away,IND,JAX,23-28,6,Tony Dungy,Jack Del Rio,2003_10_IND_JAX
2003,10,Home,JAX,IND,28-23,-6,Jack Del Rio,Tony Dungy,2003_10_IND_JAX
2003,10,Away,SEA,WAS,20-27,3,Mike Holmgren,Steve Spurrier,2003_10_SEA_WAS
2003,10,Home,WAS,SEA,27-20,-3,Steve Spurrier,Mike Holmgren,2003_10_SEA_WAS
2003,10,Away,MIN,LAC,28-42,5.5,Mike Tice,Marty Schottenheimer,2003_10_MIN_SD
2003,10,Home,LAC,MIN,42-28,-5.5,Marty Schottenheimer,Mike Tice,2003_10_MIN_SD
2003,10,Away,BUF,DAL,6-10,-4,Gregg Williams,Bill Parcells,2003_10_BUF_DAL
2003,10,Home,DAL,BUF,10-6,4,Bill Parcells,Gregg Williams,2003_10_BUF_DAL
2003,10,Away,NYJ,LV,27-24,3,Herm Edwards,Bill Callahan,2003_10_NYJ_OAK
2003,10,Home,LV,NYJ,24-27,-3,Bill Callahan,Herm Edwards,2003_10_NYJ_OAK
2003,10,Away,BAL,LA,22-33,-6.5,Brian Billick,Mike Martz,2003_10_BAL_STL
2003,10,Home,LA,BAL,33-22,6.5,Mike Martz,Brian Billick,2003_10_BAL_STL
2003,10,Away,PHI,GB,17-14,-4.5,Andy Reid,Mike Sherman,2003_10_PHI_GB
2003,10,Home,GB,PHI,14-17,4.5,Mike Sherman,Andy Reid,2003_10_PHI_GB
2003,11,Away,ARI,CLE,6-44,-5,Dave McGinnis,Butch Davis,2003_11_ARI_CLE
2003,11,Home,CLE,ARI,44-6,5,Butch Davis,Dave McGinnis,2003_11_ARI_CLE
2003,11,Away,BAL,MIA,6-9,-5,Brian Billick,Dave Wannstedt,2003_11_BAL_MIA
2003,11,Home,MIA,BAL,9-6,5,Dave Wannstedt,Brian Billick,2003_11_BAL_MIA
2003,11,Away,JAX,TEN,3-10,-9,Jack Del Rio,Jeff Fisher,2003_11_JAX_TEN
2003,11,Home,TEN,JAX,10-3,9,Jeff Fisher,Jack Del Rio,2003_11_JAX_TEN
2003,11,Away,NYG,PHI,10-28,-3,Jim Fassel,Andy Reid,2003_11_NYG_PHI
2003,11,Home,PHI,NYG,28-10,3,Andy Reid,Jim Fassel,2003_11_NYG_PHI
2003,11,Away,WAS,CAR,17-20,-6,Steve Spurrier,John Fox,2003_11_WAS_CAR
2003,11,Home,CAR,WAS,20-17,6,John Fox,Steve Spurrier,2003_11_WAS_CAR
2003,11,Away,ATL,NO,20-23,-9,Dan Reeves,Jim Haslett,2003_11_ATL_NO
2003,11,Home,NO,ATL,23-20,9,Jim Haslett,Dan Reeves,2003_11_ATL_NO
2003,11,Away,HOU,BUF,12-10,-7,Dom Capers,Gregg Williams,2003_11_HOU_BUF
2003,11,Home,BUF,HOU,10-12,7,Gregg Williams,Dom Capers,2003_11_HOU_BUF
2003,11,Away,KC,CIN,19-24,6,Dick Vermeil,Marvin Lewis,2003_11_KC_CIN
2003,11,Home,CIN,KC,24-19,-6,Marvin Lewis,Dick Vermeil,2003_11_KC_CIN
2003,11,Away,LA,CHI,23-21,6,Mike Martz,Dick Jauron,2003_11_STL_CHI
2003,11,Home,CHI,LA,21-23,-6,Dick Jauron,Mike Martz,2003_11_STL_CHI
2003,11,Away,LAC,DEN,8-37,-8.5,Marty Schottenheimer,Mike Shanahan,2003_11_SD_DEN
2003,11,Home,DEN,LAC,37-8,8.5,Mike Shanahan,Marty Schottenheimer,2003_11_SD_DEN
2003,11,Away,NYJ,IND,31-38,-6,Herm Edwards,Tony Dungy,2003_11_NYJ_IND
2003,11,Home,IND,NYJ,38-31,6,Tony Dungy,Herm Edwards,2003_11_NYJ_IND
2003,11,Away,GB,TB,20-13,-3.5,Mike Sherman,Jon Gruden,2003_11_GB_TB
2003,11,Home,TB,GB,13-20,3.5,Jon Gruden,Mike Sherman,2003_11_GB_TB
2003,11,Away,DET,SEA,14-35,-11,Steve Mariucci,Mike Holmgren,2003_11_DET_SEA
2003,11,Home,SEA,DET,35-14,11,Mike Holmgren,Steve Mariucci,2003_11_DET_SEA
2003,11,Away,MIN,LV,18-28,4.5,Mike Tice,Bill Callahan,2003_11_MIN_OAK
2003,11,Home,LV,MIN,28-18,-4.5,Bill Callahan,Mike Tice,2003_11_MIN_OAK
2003,11,Away,DAL,NE,0-12,-4,Bill Parcells,Bill Belichick,2003_11_DAL_NE
2003,11,Home,NE,DAL,12-0,4,Bill Belichick,Bill Parcells,2003_11_DAL_NE
2003,11,Away,PIT,SF,14-30,-4,Bill Cowher,Dennis Erickson,2003_11_PIT_SF
2003,11,Home,SF,PIT,30-14,4,Dennis Erickson,Bill Cowher,2003_11_PIT_SF
2003,12,Away,CAR,DAL,20-24,-3,John Fox,Bill Parcells,2003_12_CAR_DAL
2003,12,Home,DAL,CAR,24-20,3,Bill Parcells,John Fox,2003_12_CAR_DAL
2003,12,Away,IND,BUF,17-14,3,Tony Dungy,Gregg Williams,2003_12_IND_BUF
2003,12,Home,BUF,IND,14-17,-3,Gregg Williams,Tony Dungy,2003_12_IND_BUF
2003,12,Away,NE,HOU,23-20,5,Bill Belichick,Dom Capers,2003_12_NE_HOU
2003,12,Home,HOU,NE,20-23,-5,Dom Capers,Bill Belichick,2003_12_NE_HOU
2003,12,Away,PIT,CLE,13-6,-3,Bill Cowher,Butch Davis,2003_12_PIT_CLE
2003,12,Home,CLE,PIT,6-13,3,Butch Davis,Bill Cowher,2003_12_PIT_CLE
2003,12,Away,SF,GB,10-20,-3.5,Dennis Erickson,Mike Sherman,2003_12_SF_GB
2003,12,Home,GB,SF,20-10,3.5,Mike Sherman,Dennis Erickson,2003_12_SF_GB
2003,12,Away,DET,MIN,14-24,-10.5,Steve Mariucci,Mike Tice,2003_12_DET_MIN
2003,12,Home,MIN,DET,24-14,10.5,Mike Tice,Steve Mariucci,2003_12_DET_MIN
2003,12,Away,JAX,NYJ,10-13,-4,Jack Del Rio,Herm Edwards,2003_12_JAX_NYJ
2003,12,Home,NYJ,JAX,13-10,4,Herm Edwards,Jack Del Rio,2003_12_JAX_NYJ
2003,12,Away,NO,PHI,20-33,-5.5,Jim Haslett,Andy Reid,2003_12_NO_PHI
2003,12,Home,PHI,NO,33-20,5.5,Andy Reid,Jim Haslett,2003_12_NO_PHI
2003,12,Away,SEA,BAL,41-44,-3,Mike Holmgren,Brian Billick,2003_12_SEA_BAL
2003,12,Home,BAL,SEA,44-41,3,Brian Billick,Mike Holmgren,2003_12_SEA_BAL
2003,12,Away,LA,ARI,30-27,7,Mike Martz,Dave McGinnis,2003_12_STL_ARI
2003,12,Home,ARI,LA,27-30,-7,Dave McGinnis,Mike Martz,2003_12_STL_ARI
2003,12,Away,CHI,DEN,19-10,-10.5,Dick Jauron,Mike Shanahan,2003_12_CHI_DEN
2003,12,Home,DEN,CHI,10-19,10.5,Mike Shanahan,Dick Jauron,2003_12_CHI_DEN
2003,12,Away,LV,KC,24-27,-11,Bill Callahan,Dick Vermeil,2003_12_OAK_KC
2003,12,Home,KC,LV,27-24,11,Dick Vermeil,Bill Callahan,2003_12_OAK_KC
2003,12,Away,CIN,LAC,34-27,3,Marvin Lewis,Marty Schottenheimer,2003_12_CIN_SD
2003,12,Home,LAC,CIN,27-34,-3,Marty Schottenheimer,Marvin Lewis,2003_12_CIN_SD
2003,12,Away,TEN,ATL,38-31,6.5,Jeff Fisher,Dan Reeves,2003_12_TEN_ATL
2003,12,Home,ATL,TEN,31-38,-6.5,Dan Reeves,Jeff Fisher,2003_12_TEN_ATL
2003,12,Away,WAS,MIA,23-24,-7,Steve Spurrier,Dave Wannstedt,2003_12_WAS_MIA
