season,adp_rk,pick,name,pos,team,bye,overall,std,high,low,n,player_id,sleeper_id,,NAs
2021,194,14.07,Tarik Cohen,RB,CHI,10,163.3,14.8,10.09,15.12,154,00-0032385,3200,,
2021,195,14.07,Eric Ebron,TE,PIT,7,163.3,17.6,10.12,15.12,25,00-0036425,6931,,
2021,196,14.08,Russell Gage,WR,ATL,6,164,12.8,12.03,15.12,33,00-0036309,7090,,
2021,197,14.08,Gabriel Davis,WR,BUF,7,164,13,11.09,15.12,27,00-0031280,2028,,
2021,199,14.08,Jared Goff,QB,DET,9,164.5,13.1,11.11,15.08,14,00-0032392,3202,,
2021,201,14.09,Ryan Fitzpatrick,QB,WAS,9,165,13.6,11.01,15.12,99,#N/A,7591,,
2021,202,14.09,Kenneth Gainwell,RB,PHI,14,165.3,20.6,9.03,15.1,17,00-0035535,6149,,
2021,204,14.1,Denzel Mims,WR,NYJ,6,165.7,11.9,12.06,15.12,33,#N/A,7596,,
2021,206,14.1,Sammy Watkins,WR,BAL,8,165.8,15.5,9.02,16.01,87,00-0027061,367,,
2021,207,14.11,Justin Jackson,RB,LAC,7,166.7,12.5,12.05,15.12,78,#N/A,#N/A,,
2021,209,14.11,A.J. Green,WR,ARI,12,166.7,11.4,11.03,15.12,43,00-0033951,4152,,
2021,210,14.11,Christian Kirk,WR,ARI,12,166.9,12.5,10.06,15.12,68,#N/A,#N/A,,
2021,211,14.12,Malcolm Brown,RB,MIA,14,167.7,13.2,12.07,15.12,26,#N/A,#N/A,,
2021,214,14.12,Darrel Williams,RB,KC,12,168.4,17.1,11.1,15.12,13,00-0030456,1386,,
2021,,,,,,,,,,,,00-0035710,5870,,
2021,,,,,,,,,,,,#N/A,#N/A,,
2021,,,,,,,,,,,,00-0027685,538,,
2021,,,,,,,,,,,,#N/A,#N/A,,
2021,,,,,,,,,,,,00-0033556,4157,,
2021,,,,,,,,,,,,00-0031387,2118,,
2021,,,,,,,,,,,,00-0034411,5110,,
2021,,,,,,,,,,,,00-0036196,6943,,
2021,,,,,,,,,,,,#N/A,#N/A,,
2021,,,,,,,,,,,,00-0033106,3163,,
,,,,,,,,,,,,#N/A,#N/A,,
,,,,,,,,,,,,00-0023682,333,,
,,,,,,,,,,,,#N/A,7567,,
,,,,,,,,,,,,#N/A,#N/A,,
,,,,,,,,,,,,00-0036255,6849,,
,,,,,,,,,,,,#N/A,#N/A,,
,,,,,,,,,,,,00-0031325,1817,,
,,,,,,,,,,,,00-0034440,5131,,
,,,,,,,,,,,,#N/A,#N/A,,
,,,,,,,,,,,,00-0027942,830,,
,,,,,,,,,,,,00-0034775,4950,,
,,,,,,,,,,,,00-0031806,2588,,
,,,,,,,,,,,,#N/A,#N/A,,
,,,,,,,,,,,,#N/A,#N/A,,
,,,,,,,,,,,,00-0034301,5549,,
,,,,,,,,,,,,#N/A,#N/A,,
,,,,,,,,,,,,#N/A,#N/A,,
,,,,,,,,,,,,#N/A,#N/A,,
,,,,,,,,,,,,#N/A,#N/A,,
,,,,,,,,,,,,#N/A,#N/A,,
,,,,,,,,,,,,#N/A,#N/A,,
,,,,,,,,,,,,#N/A,#N/A,,
,,,,,,,,,,,,#N/A,#N/A,,
,,,,,,,,,,,,#N/A,#N/A,,
,,,,,,,,,,,,#N/A,#N/A,,
,,,,,,,,,,,,#N/A,#N/A,,
,,,,,,,,,,,,#N/A,#N/A,,
,,,,,,,,,,,,#N/A,#N/A,,
,,,,,,,,,,,,#N/A,#N/A,,
,,,,,,,,,,,,#N/A,#N/A,,
,,,,,,,,,,,,#N/A,#N/A,,
,,,,,,,,,,,,#N/A,#N/A,,
,,,,,,,,,,,,#N/A,#N/A,,
,,,,,,,,,,,,#N/A,#N/A,,
,,,,,,,,,,,,#N/A,#N/A,,
,,,,,,,,,,,,#N/A,#N/A,,
,,,,,,,,,,,,#N/A,#N/A,,
,,,,,,,,,,,,#N/A,#N/A,,
,,,,,,,,,,,,#N/A,#N/A,,
,,,,,,,,,,,,#N/A,#N/A,,
,,,,,,,,,,,,#N/A,#N/A,,
,,,,,,,,,,,,#N/A,#N/A,,
,,,,,,,,,,,,#N/A,#N/A,,
,,,,,,,,,,,,#N/A,#N/A,,
,,,,,,,,,,,,#N/A,#N/A,,
,,,,,,,,,,,,#N/A,#N/A,,
,,,,,,,,,,,,#N/A,#N/A,,
,,,,,,,,,,,,#N/A,#N/A,,
,,,,,,,,,,,,#N/A,#N/A,,
,,,,,,,,,,,,#N/A,#N/A,,
,,,,,,,,,,,,#N/A,#N/A,,
,,,,,,,,,,,,#N/A,#N/A,,
,,,,,,,,,,,,#N/A,#N/A,,
,,,,,,,,,,,,#N/A,#N/A,,
,,,,,,,,,,,,#N/A,#N/A,,
,,,,,,,,,,,,#N/A,#N/A,,
,,,,,,,,,,,,#N/A,#N/A,,
,,,,,,,,,,,,#N/A,#N/A,,
,,,,,,,,,,,,#N/A,#N/A,,
,,,,,,,,,,,,#N/A,#N/A,,
,,,,,,,,,,,,#N/A,#N/A,,
,,,,,,,,,,,,#N/A,#N/A,,
,,,,,,,,,,,,#N/A,#N/A,,
,,,,,,,,,,,,#N/A,#N/A,,
,,,,,,,,,,,,#N/A,#N/A,,
,,,,,,,,,,,,#N/A,#N/A,,
,,,,,,,,,,,,#N/A,#N/A,,
,,,,,,,,,,,,#N/A,#N/A,,
,,,,,,,,,,,,#N/A,#N/A,,
,,,,,,,,,,,,#N/A,#N/A,,
,,,,,,,,,,,,#N/A,#N/A,,
,,,,,,,,,,,,#N/A,#N/A,,
,,,,,,,,,,,,#N/A,#N/A,,
,,,,,,,,,,,,#N/A,#N/A,,
,,,,,,,,,,,,#N/A,#N/A,,
,,,,,,,,,,,,#N/A,#N/A,,
,,,,,,,,,,,,#N/A,#N/A,,
,,,,,,,,,,,,#N/A,#N/A,,
